1. Accenture,,,,,,,
2. Deloitte,,,,,,,
3. PwC (PricewaterhouseCoopers),,,,Job description,Job description,Job description,Job description
4. EY (Ernst & Young),,,,,,,
5. KPMG,,,,,,,
6. Capgemini,,,,,,,
7. Cognizant,,,,,,,
8. Tata Consultancy Services (TCS),,,,,,,
9. Infosys,,,,,,,
10. Wipro,,,,,,,
11. HCL Technologies,,,,,,,
12. Tech Mahindra,,,,,,,
13. DXC Technology,,,Sr Analyst I Data Engineering in Bangalore | Data Sciences at DXC Technology,,,,
14. Genpact,,,,,,,
15. NTT Data,,,,,,,
16. CGI,,,,,,,
17. Atos,,,,,,,
18. IBM Global Services,,,,,,,
19. Slalom Consulting,,,,,,,
20. ZS Associates,,,,,,,
21. Publicis Sapient,,,,,,,
22. BearingPoint,,,,,,,
23. Boston Consulting Group (BCG),,,,,,,
24. McKinsey & Company (McKinsey Digital),,,,,,,
25. Bain & Company (Bain Digital),,,,,,,
26. Alvarez & Marsal,,,,,,,
27. Hitachi Consulting,,,,,,,
28. Mindtree,,,,,,,
29. Virtusa,,,,,,,
30. EXL Service,,,,,,,
31. Mu Sigma,,,,,,,
32. Fractal Analytics,,,,,,,
33. LatentView Analytics,,,,,,,
34. BluePi Consulting,,,,,,,
35. Blue Prism (Automation Consulting),,,,,,,
36. Everest Group,,,,,,,
37. LTI (Larsen & Toubro Infotech),,,,,,,
38. UST Global,,,,,,,
39. Trianz,,,,,,,
40. BRIDGEi2i Analytics Solutions,,,,,,,
41. QuintilesIMS (IQVIA),,,,,,,
42. The Smart Cube,,,,,,,
43. Opera Solutions,,,,,,,
44. Hexaware Technologies,,,,,,,
45. Rolta India,,,,,,,
46. RSM US LLP,,,,,,,
47. Protiviti,,,,,,,
48. Crowe LLP,,,,,,,
49. BDO Consulting,,,,,,,
50. Grant Thornton LLP,,,,,,,
51. Alight Solutions,,,,,,,
52. Perficient,,,,,,,
53. Tavant Technologies,,,,,,,
54. Persistent Systems,,,,,,,
55. Virtustream,,,,,,,
56. Luxoft,,,,,,,
57. Acumen Solutions,,,,,,,
58. Unisys,,,,,,,
59. Zensar Technologies,,,,,,,
60. Nagarro,,,,,,,
61. 3Pillar Global,,,,,,,
62. RapidValue Solutions,,,,,,,
63. Huron Consulting Group,,,,,,,
64. Sierra-Cedar,,,,,,,
65. Incedo,,,,,,,
66. Infogain,,,,,,,
67. Prodapt Solutions,,,,,,,
68. Syntel (Atos Syntel),,,,,,,
69. Merilytics,,,,,,,
70. UST,,,,,,,
71. Daugherty Business Solutions,,,,,,,
72. Point B,,,,,,,
73. Ensono,,,,,,,
74. Capco,,,,,,,
75. Experis (ManpowerGroup),,,,,,,
76. Willis Towers Watson,,,,,,,
77. Gallagher Bassett,,,,,,,
78. Unqork (Consulting Services),,,,,,,
79. Compunnel Digital,,,,,,,
80. Digital.ai,,,,,,,
81. Apex Systems (Consulting),,,,,,,
